HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms	Name Synonyms	Accession Numbers	Gene Family Tag	UniProt ID(supplied by UniProt)
HGNC:33004	SNORD114-16	small nucleolar RNA, C/D box 114-16		14q(II-16)			SNORD	
HGNC:33005	SNORD114-17	small nucleolar RNA, C/D box 114-17		14q(II-17)			SNORD	
HGNC:33006	SNORD114-18	small nucleolar RNA, C/D box 114-18		14q(II-18)			SNORD	
HGNC:33007	SNORD114-19	small nucleolar RNA, C/D box 114-19		14q(II-19)			SNORD	
HGNC:33008	SNORD114-20	small nucleolar RNA, C/D box 114-20		14q(II-20)			SNORD	
HGNC:33009	SNORD114-21	small nucleolar RNA, C/D box 114-21		14q(II-21)			SNORD	
HGNC:3301	EIF5A2	eukaryotic translation initiation factor 5A2				AF293386		Q9GZV4
HGNC:33010	SNORD114-22	small nucleolar RNA, C/D box 114-22		14q(II-22)			SNORD	
HGNC:33011	SNORD114-23	small nucleolar RNA, C/D box 114-23		14q(II-23)			SNORD	
HGNC:33012	SNORD114-24	small nucleolar RNA, C/D box 114-24		14q(II-24)			SNORD	
HGNC:33013	SNORD114-25	small nucleolar RNA, C/D box 114-25		14q(II-25)			SNORD	
HGNC:33014	SNORD114-26	small nucleolar RNA, C/D box 114-26		14q(II-26)			SNORD	
HGNC:33015	SNORD114-27	small nucleolar RNA, C/D box 114-27		14q(II-27)			SNORD	
HGNC:33016	SNORD114-28	small nucleolar RNA, C/D box 114-28		14q(II-28)			SNORD	
HGNC:33017	SNORD114-29	small nucleolar RNA, C/D box 114-29		14q(II-29)			SNORD	
HGNC:33018	SNORD114-30	small nucleolar RNA, C/D box 114-30		14q(II-30)			SNORD	
HGNC:33019	SNORD114-31	small nucleolar RNA, C/D box 114-31		14q(II-31)			SNORD	
HGNC:33020	SNORD115-1	small nucleolar RNA, C/D box 115-1		HBII-52-1		AF250841	SNORD	
HGNC:33021	SNORD115-2	small nucleolar RNA, C/D box 115-2		HBII-52-2		AF250841	SNORD	
HGNC:33022	SNORD115-3	small nucleolar RNA, C/D box 115-3		HBII-52-3		AF250841	SNORD	
HGNC:33023	SNORD115-4	small nucleolar RNA, C/D box 115-4		HBII-52-4		AF250841	SNORD	
HGNC:33024	SNORD115-5	small nucleolar RNA, C/D box 115-5		HBII-52-5		AF250841	SNORD	
HGNC:33025	SNORD115-6	small nucleolar RNA, C/D box 115-6		HBII-52-6		AF250841	SNORD	
HGNC:33026	SNORD115-7	small nucleolar RNA, C/D box 115-7		HBII-52-7		AF250841	SNORD	
HGNC:33027	SNORD115-8	small nucleolar RNA, C/D box 115-8		HBII-52-8		AF250841	SNORD	
HGNC:33028	SNORD115-9	small nucleolar RNA, C/D box 115-9		HBII-52-9		AF250841	SNORD	
HGNC:33029	SNORD115-10	small nucleolar RNA, C/D box 115-10		HBII-52-10		AF250841	SNORD	
HGNC:3303	EIF5AP2	eukaryotic translation initiation factor 5A pseudogene 2				S72038		
HGNC:33030	SNORD115-11	small nucleolar RNA, C/D box 115-11		HBII-52-11		AF250841	SNORD	
HGNC:33031	SNORD115-12	small nucleolar RNA, C/D box 115-12		HBII-52-12		AF250841	SNORD	
HGNC:33032	SNORD115-13	small nucleolar RNA, C/D box 115-13		HBII-52-13		AF250841	SNORD	
HGNC:33033	SNORD115-14	small nucleolar RNA, C/D box 115-14		HBII-52-14		AF250841	SNORD	
HGNC:33034	SNORD115-15	small nucleolar RNA, C/D box 115-15		HBII-52-15		AF250841	SNORD	
HGNC:33035	SNORD115-16	small nucleolar RNA, C/D box 115-16		HBII-52-16		AF250841	SNORD	
HGNC:33036	SNORD115-17	small nucleolar RNA, C/D box 115-17		HBII-52-17		AF250841	SNORD	
HGNC:33037	SNORD115-18	small nucleolar RNA, C/D box 115-18		HBII-52-18		AF250841	SNORD	
HGNC:33038	SNORD115-19	small nucleolar RNA, C/D box 115-19		HBII-52-19		AF250841	SNORD	
HGNC:33039	SNORD115-20	small nucleolar RNA, C/D box 115-20		HBII-52-20		AF250841	SNORD	
HGNC:3304	EIF5AP3	eukaryotic translation initiation factor 5A pseudogene 3				S72026		
HGNC:33040	SNORD115-21	small nucleolar RNA, C/D box 115-21		HBII-52-21		AF250841	SNORD	
HGNC:33041	SNORD115-22	small nucleolar RNA, C/D box 115-22		HBII-52-22		AF250841	SNORD	
HGNC:33042	SNORD115-23	small nucleolar RNA, C/D box 115-23		HBII-52-23		AF250841	SNORD	
HGNC:33043	SNORD115-24	small nucleolar RNA, C/D box 115-24		HBII-52-24			SNORD	
HGNC:33044	SNORD115-25	small nucleolar RNA, C/D box 115-25		HBII-52-25		AF250841	SNORD	
HGNC:33045	SNORD115-26	small nucleolar RNA, C/D box 115-26		HBII-52-26		AF250841	SNORD	
HGNC:33046	SNORD115-27	small nucleolar RNA, C/D box 115-27		HBII-52-27			SNORD	
HGNC:33047	SNORD115-28	small nucleolar RNA, C/D box 115-28		HBII-52-28			SNORD	
HGNC:33048	SNORD115-29	small nucleolar RNA, C/D box 115-29		HBII-52-29		AF250841	SNORD	
HGNC:33049	SNORD115-30	small nucleolar RNA, C/D box 115-30		HBII-52-30		AF250841	SNORD	
HGNC:3305	EJM1	epilepsy, juvenile myoclonic 1	EJM					
HGNC:33050	SNORD115-31	small nucleolar RNA, C/D box 115-31		HBII-52-31		AF250841	SNORD	
HGNC:33051	SNORD115-32	small nucleolar RNA, C/D box 115-32		HBII-52-32		AF250841	SNORD	
HGNC:33052	SNORD115-33	small nucleolar RNA, C/D box 115-33		HBII-52-33		AF250841	SNORD	
HGNC:33053	SNORD115-34	small nucleolar RNA, C/D box 115-34		HBII-52-34		AF250841	SNORD	
HGNC:33054	SNORD115-35	small nucleolar RNA, C/D box 115-35		HBII-52-35		AF250841	SNORD	
HGNC:33055	SNORD115-36	small nucleolar RNA, C/D box 115-36		HBII-52-36		AF250841	SNORD	
HGNC:33056	SNORD115-37	small nucleolar RNA, C/D box 115-37		HBII-52-37		AF250841	SNORD	
HGNC:33057	SNORD115-38	small nucleolar RNA, C/D box 115-38		HBII-52-38		AF250841	SNORD	
HGNC:33058	SNORD115-39	small nucleolar RNA, C/D box 115-39		HBII-52-39		AF250841	SNORD	
HGNC:33059	SNORD115-40	small nucleolar RNA, C/D box 115-40		HBII-52-40		AF250841	SNORD	
HGNC:3306	EJM2	epilepsy, juvenile myoclonic 2		EIG7				
HGNC:33060	SNORD115-41	small nucleolar RNA, C/D box 115-41		HBII-52-41		AF250841	SNORD	
HGNC:33061	SNORD115-42	small nucleolar RNA, C/D box 115-42		HBII-52-42		AF250841	SNORD	
HGNC:33062	SNORD115-43	small nucleolar RNA, C/D box 115-43		HBII-52-43		AF250841	SNORD	
HGNC:33063	SNORD115-44	small nucleolar RNA, C/D box 115-44		HBII-52-44		AF250841	SNORD	
HGNC:33064	SNORD115-45	small nucleolar RNA, C/D box 115-45		HBII-52-45, SNORD115-48			SNORD	
HGNC:33065	SNORD115-47	small nucleolar RNA, C/D box 115-47		HBII-52-47			SNORD	
HGNC:33067	SNORD116-1	small nucleolar RNA, C/D box 116-1		HBII-85-1		AF250841	SNORD	
HGNC:33068	SNORD116-2	small nucleolar RNA, C/D box 116-2		HBII-85-2		AF250841	SNORD	
HGNC:33069	SNORD116-3	small nucleolar RNA, C/D box 116-3		HBII-85-3		AF250841	SNORD	
HGNC:33070	SNORD116-4	small nucleolar RNA, C/D box 116-4		HBII-85-4		AF250841	SNORD	
HGNC:33071	SNORD116-5	small nucleolar RNA, C/D box 116-5		HBII-85-5		AF250841	SNORD	
HGNC:33072	SNORD116-6	small nucleolar RNA, C/D box 116-6		HBII-85-6		AF250841	SNORD	
HGNC:33073	SNORD116-7	small nucleolar RNA, C/D box 116-7		HBII-85-7		AF250841	SNORD	
HGNC:33074	SNORD116-8	small nucleolar RNA, C/D box 116-8		HBII-85-8		AF250841	SNORD	
HGNC:33075	SNORD116-9	small nucleolar RNA, C/D box 116-9		HBII-85-9		AF250841	SNORD	
HGNC:33076	SNORD116-10	small nucleolar RNA, C/D box 116-10		HBII-85-10		AF250841	SNORD	
HGNC:33077	SNORD116-11	small nucleolar RNA, C/D box 116-11		HBII-85-11		AF250841	SNORD	
HGNC:33078	SNORD116-12	small nucleolar RNA, C/D box 116-12		HBII-85-12		AF250841	SNORD	
HGNC:33079	SNORD116-13	small nucleolar RNA, C/D box 116-13		HBII-85-13		AF250841	SNORD	
HGNC:3308	CELA1	chymotrypsin-like elastase family, member 1	ELA1					Q9UNI1
HGNC:33080	SNORD116-14	small nucleolar RNA, C/D box 116-14		HBII-85-14		AF250841	SNORD	
HGNC:33081	SNORD116-15	small nucleolar RNA, C/D box 116-15		HBII-85-15		AF250841	SNORD	
HGNC:33082	SNORD116-16	small nucleolar RNA, C/D box 116-16		HBII-85-16		AF250841	SNORD	
HGNC:33083	SNORD116-17	small nucleolar RNA, C/D box 116-17		HBII-85-17		AF250841	SNORD	
HGNC:33084	SNORD116-18	small nucleolar RNA, C/D box 116-18		HBII-85-18		AF250841	SNORD	
HGNC:33085	SNORD116-19	small nucleolar RNA, C/D box 116-19		HBII-85-19		AF250841	SNORD	
HGNC:33086	SNORD116-20	small nucleolar RNA, C/D box 116-20		HBII-85-20		AF250841	SNORD	
HGNC:33087	SNORD116-21	small nucleolar RNA, C/D box 116-21		HBII-85-21		AF250841	SNORD	
HGNC:33088	SNORD116-22	small nucleolar RNA, C/D box 116-22		HBII-85-22		AF250841	SNORD	
HGNC:33089	SNORD116-23	small nucleolar RNA, C/D box 116-23		HBII-85-23		AF250841	SNORD	
HGNC:3309	ELANE	elastase, neutrophil expressed	ELA2	NE, HNE, HLE	"neutrophil elastase", "leukocyte elastase", "medullasin"			P08246
HGNC:33090	SNORD116-24	small nucleolar RNA, C/D box 116-24		HBII-85-24		AF250841	SNORD	
HGNC:33091	SNORD116-25	small nucleolar RNA, C/D box 116-25		HBII-85-25		AF250841	SNORD	
HGNC:33092	SNORD116-26	small nucleolar RNA, C/D box 116-26		HBII-85-26		AF250841	SNORD	
HGNC:33093	SNORD116-27	small nucleolar RNA, C/D box 116-27		HBII-85-27		AF250841	SNORD	
HGNC:33094	CCT6P1	chaperonin containing TCP1, subunit 6 (zeta) pseudogene 1	CCT6AP1			BC052238, BC073761		
HGNC:33098	SNHG8	small nucleolar RNA host gene 8 (non-protein coding)		NCRNA00060, LINC00060	"non-protein coding RNA 60", "long intergenic non-protein coding RNA 60"	BC017993, CR625561, BC039555	LNCRNA, INTERGENIC	
HGNC:33099	LINC00338	long intergenic non-protein coding RNA 338	C17orf86, NCRNA00338	PRO0872, FLJ25582, DKFZp686L05235		AF130050	LNCRNA, INTERGENIC	
HGNC:33100	GPX8	glutathione peroxidase 8 (putative)		UNQ847, EPLA847		BC029424		Q8TED1
HGNC:33101	ZFAS1	ZNFX1 antisense RNA 1	C20orf199, NCRNA00275, ZNFX1-AS1	HSUP1, HSUP2		AY513722, AY513723	LNCRNA, ANTISENSE, fLNCRNA	
HGNC:33102	SNHG9	small nucleolar RNA host gene 9 (non-protein coding)		DKFZp686N06141, NCRNA00062	"non-protein coding RNA 62"	CR749453, BC028232	LNCRNA, INTERGENIC	
HGNC:33104	ZIK1	zinc finger protein interacting with K protein 1		ZNF762		AK092538	ZNF, ZKRAB	Q3SY52
HGNC:33105	ZNF468	zinc finger protein 468				AK023558	ZNF, ZKRAB	Q5VIY5
HGNC:33106	ZNF772	zinc finger protein 772		DKFZp686I1569		BX647068	ZNF, ZKRAB	Q68DY9
HGNC:33107	ZNF324B	zinc finger protein 324B		FLJ45850		AK127750	ZNF, ZKRAB	Q6AW86
HGNC:33108	ZNF774	zinc finger protein 774		MGC75360		BC067279	ZNF	Q6NX45
HGNC:33109	ZNF780B	zinc finger protein 780B	ZNF779			AK127063	ZNF, ZKRAB	Q9Y6R6
HGNC:3311	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1	ELANH2	EI, PI2, anti-elastase		M93056	SERPIN	P30740
HGNC:33110	ZNF782	zinc finger protein 782		FLJ16636		AK131468	ZNF, ZKRAB	Q6ZMW2
HGNC:33111	ZNF784	zinc finger protein 784		MGC75238		AK074859	ZNF	Q8NCA9
HGNC:33112	ZNF788	zinc finger family member 788		FLJ46419		AI566055	ZNF	Q6ZQV5
HGNC:33113	METTL12	methyltransferase like 12		U99HG		BC041359		A8MUP2
HGNC:33114	ZNF790	zinc finger protein 790		MGC62100, FLJ20350		BC057245	ZNF, ZKRAB	Q6PG37
HGNC:33115	ZNF793	zinc finger protein 793				AK131417	ZNF, ZKRAB	Q6ZN11
HGNC:33116	INSC	inscuteable homolog (Drosophila)				AB231744		Q1MX18
HGNC:33117	HAR1A	highly accelerated region 1A (non-protein coding)		HAR1F, NCRNA00064, LINC00064	"human accelerated region 1, forward", "non-protein coding RNA 64", "long intergenic non-protein coding RNA 64"	DQ860409, BC035016, BC047717	LNCRNA, INTERGENIC, fLNCRNA	
HGNC:33118	HAR1B	highly accelerated region 1B (non-protein coding)		HAR1R, NCRNA00065, LINC00065	"human accelerated region 1, reverse", "non-protein coding RNA 65", "long intergenic non-protein coding RNA 65"	DQ860410, DQ860411	LNCRNA, INTERGENIC, fLNCRNA	
HGNC:3312	ELAVL1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	HUR	HuR, Hua, MelG	"embryonic lethal, abnormal vision, drosophila, homolog-like 1", "Hu antigen R"	U38175	RBM	Q15717
HGNC:33120	GLC1L	glaucoma 1, open angle, L (adult-onset)						
HGNC:33121	DFNB69	deafness, autosomal recessive 69						
HGNC:33122	MROH3P	maestro heat-like repeat family member 3, pseudogene	C1orf81			DQ983818	MROH	
HGNC:33123	DFNA55	deafness, autosomal dominant 55						
HGNC:33125	GTF2IRD2B	GTF2I repeat domain containing 2B				AY312850		Q6EKJ0
HGNC:33127	GTF2IRD2P1	GTF2I repeat domain containing 2 pseudogene 1	GTF2IRD2P			AY312852		
HGNC:33128	ACOT1	acyl-CoA thioesterase 1		ACH2, CTE-1, LACH2		DQ082754	ACOT	Q86TX2
HGNC:33129	HYDIN2	HYDIN2, axonemal central pair apparatus protein (pseudogene)	HYDINP1			AB058767		
HGNC:3313	ELAVL2	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)		HuB, HEL-N1		BC030692	RBM	Q12926
HGNC:33131	PSAPL1	prosaposin-like 1 (gene/pseudogene)				DQ991252		Q6NUJ1
HGNC:33132	CTSL3P	cathepsin L family member 3, pseudogene	CTSL3	HCTSL-s		AJ851862	CTS	Q5NE16
HGNC:33133	MIR758	microRNA 758	MIRN758	hsa-mir-758			MIR	
HGNC:33134	MIR671	microRNA 671	MIRN671	hsa-mir-671			MIR	
HGNC:33135	MIR668	microRNA 668	MIRN668	hsa-mir-668			MIR	
HGNC:33136	MIR767	microRNA 767	MIRN767	hsa-mir-767			MIR	
HGNC:33137	MIR454	microRNA 454	MIRN454	hsa-mir-454			MIR	
HGNC:33138	MIR769	microRNA 769	MIRN769	hsa-mir-769			MIR	
HGNC:33139	MIR766	microRNA 766	MIRN766	hsa-mir-766			MIR	
HGNC:3314	ELAVL3	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)		HUC, PLE21, DKFZp547J036, HUCL, MGC20653	"Hu antigen C", "paraneoplastic limbic encephalitis antigen 21", "paraneoplastic cerebellar degeneration-associated antigen", "ELAV-like protein 3"		RBM	Q14576
HGNC:33140	MIR802	microRNA 802	MIRN802	hsa-mir-802			MIR	
HGNC:33141	MIR765	microRNA 765	MIRN765	hsa-mir-765			MIR	
HGNC:33143	MIR770	microRNA 770	MIRN770	hsa-mir-770			MIR	
HGNC:33145	WASH2P	WAS protein family homolog 2 pseudogene	FAM39B	MGC52000			WASH	Q6VEQ5
HGNC:33146	SMEK3P	SMEK homolog 3, suppressor of mek1 (Dictyostelium) pseudogene		FLJ32867, FLFL3P, smk1				Q6ZMV5
HGNC:33147	SPIN2B	spindlin family, member 2B		SPIN-2		AF356353		Q9BPZ2
HGNC:33148	SUMO1P1	SUMO1 pseudogene 1	UBL2, UBL6	PIC1L				
HGNC:33149	SUMO1P2	SUMO1 pseudogene 2						
HGNC:3315	ELAVL4	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4	HUD	PNEM	"Hu antigen D"	AY033998	RBM	P26378
HGNC:33150	SUMO1P3	SUMO1 pseudogene 3						
HGNC:33151	SUMO1P4	SUMO1 pseudogene 4						
HGNC:33152	SUMO1P5	SUMO1 pseudogene 5						
HGNC:33153	RAB43P1	RAB43 pseudogene 1	RAB43P	RAB41P				
HGNC:33154	ELFN1	extracellular leucine-rich repeat and fibronectin type III domain containing 1	PPP1R28				PPP1R, FN3	P0C7U0
HGNC:33155	FAM211B	family with sequence similarity 211, member B	C22orf36	MGC131773		AK097054		Q2VPJ9
HGNC:33156	FAM127C	family with sequence similarity 127, member C		MAR8B, CXX1c		BC048268		Q17RB0
HGNC:33157	SAX2	spastic ataxia 2 (autosomal recessive)		SPAX2				
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	C14orf42			DQ082756, BF109853	ACOT	Q3I5F7
HGNC:3316	ELF1	E74-like factor 1 (ets domain transcription factor)				M82882		P32519
HGNC:33160	SPINK8	serine peptidase inhibitor, Kazal type 8 (putative)					SPINK	P0C7L1
HGNC:33161	RP34	retinitis pigmentosa 34 (X-linked recessive)						
HGNC:33162	GLC1M	glaucoma 1, open angle, M (juvenile-onset)						
HGNC:33163	GLC1N	glaucoma 1, open angle, N (juvenile-onset)						
HGNC:33164	H3F3C	H3 histone, family 3C		H3.5		BC066906	RIH	Q6NXT2
HGNC:33165	LINC00163	long intergenic non-protein coding RNA 163	C21orf134, NCRNA00163	NLC1-A, NLC1A	"narcolepsy candidate-region 1 gene A", "narcolepsy candidate region gene 1A"	BC036902	LNCRNA, INTERGENIC	
HGNC:33166	LINC00165	long intergenic non-protein coding RNA 165	C21orf135, NCRNA00165	NLC1-B	"narcolepsy candidate-region 1 gene B"	BC009635	LNCRNA, INTERGENIC	
HGNC:33168	CDRT15P1	CMT1A duplicated region transcript 15 pseudogene 1	CDRT15P			BX118788		
HGNC:33169	ASCL5	achaete-scute complex homolog 5 (Drosophila)		bHLHa47			bHLH	Q7RTU5
HGNC:3317	ELF2	E74-like factor 2 (ets domain transcription factor)		EU32, NERF, NERF-2, NERF-1A, NERF-1B		AF256222		Q15723
HGNC:33170	OPA6	optic atrophy 6 (autosomal recessive)		ROA1	"recessive optic atrophy 1"			
HGNC:33172	DFNB71	deafness, autosomal recessive 71						
HGNC:33173	CTF2P	cardiotrophin 2, pseudogene		NP	"neuropoietin"			
HGNC:33174	SPANXN1	SPANX family, member N1		SPANX-N1, CT11.6	"cancer/testis antigen family 11, member 6"			Q5VSR9
HGNC:33175	SPANXN2	SPANX family, member N2		SPANX-N2, CT11.7	"cancer/testis antigen family 11, member 7"			Q5MJ10
HGNC:33176	SPANXN3	SPANX family, member N3		SPANX-N3, CT11.8	"cancer/testis antigen family 11, member 8"			Q5MJ09
HGNC:33177	SPANXN4	SPANX family, member N4		SPANX-N4, CT11.9	"cancer/testis antigen family 11, member 9"	DQ336126		Q5MJ08
HGNC:33178	SPANXN5	SPANX family, member N5		SPANX-N5, CT11.10	"cancer/testis antigen family 11, member 10"			Q5MJ07
HGNC:33179	EIF4E1B	eukaryotic translation initiation factor 4E family member 1B		FLJ36951				A6NMX2
HGNC:3318	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	ESX	EPR-1, ESE-1, ERT		AF016295		P78545
HGNC:33180	RPL31P10	ribosomal protein L31 pseudogene 10					RPL	
HGNC:33181	SRP14P1	signal recognition particle 14kDa (homologous Alu RNA binding protein) pseudogene 1						
HGNC:33182	VKORC1P1	VKORC1 pseudogene 1						
HGNC:33183	VKORC1P2	VKORC1 pseudogene 2						
HGNC:33184	NEPNP	nephrocan, pseudogene		NPN, NEPN				
HGNC:33185	DBX1	developing brain homeobox 1					NKL	A6NMT0
HGNC:33186	DBX2	developing brain homeobox 2		FLJ16139			NKL	Q6ZNG2
HGNC:33187	MZT2A	mitotic spindle organizing protein 2A	FAM128A	MOZART2A	"mitotic-spindle organizing protein associated with a ring of gamma-tubulin 2A"	BC018206		Q6P582
HGNC:33188	AMTN	amelotin		UNQ689, RSTI689		AY358528		Q6UX39
HGNC:33189	SNORD3A	small nucleolar RNA, C/D box 3A		U3				
HGNC:3319	ELF4	E74-like factor 4 (ets domain transcription factor)		MEF, ELFR		U32645		Q99607
HGNC:33190	SNORD3B-2	small nucleolar RNA, C/D box 3B-2		U3-2B, U3b2				
HGNC:33191	SNORD3C	small nucleolar RNA, C/D box 3C		U3-3				
HGNC:33192	SNORD3D	small nucleolar RNA, C/D box 3D		U3-4				
HGNC:33193	C4orf40	chromosome 4 open reading frame 40				BX640924		Q6MZM9
HGNC:33194	UNCX	UNC homeobox		Uncx4.1			PRD	A6NJT0
HGNC:33195	PPIEL	peptidylprolyl isomerase E-like pseudogene		PPIEP1	"peptidylprolyl isomerase E (cyclophilin E) pseudogene 1"	CN265253		
HGNC:33196	PLIN5	perilipin 5		LSDP5, LSDA5, OXPAT, MLDP	"lipid storage droplet protein 5"	DQ839131	PLIN	Q00G26
HGNC:33197	TRNAN2	transfer RNA asparagine 2 (anticodon GUU)	TRN2			K01921	TRNA	
HGNC:33198	TRNAN3	transfer RNA asparagine 3 (anticodon GUU)	TRN3			K01920	TRNA	
HGNC:33199	TRNAK2	transfer RNA lysine 2 (anticodon CUU)	TRK2			M33940	TRNA	
HGNC:3320	ELF5	E74-like factor 5 (ets domain transcription factor)				AF049703		Q9UKW6
HGNC:33201	TRNAS4	transfer RNA serine 4 (anticodon AGA)	TRS4			X06760	TRNA	
HGNC:33202	ZNF705D	zinc finger protein 705D				BC110823	ZNF, ZKRAB	P0CH99
HGNC:33203	ZNF705E	zinc finger protein 705E						A8MWA4
HGNC:33204	ZNF705F	zinc finger protein 705F					ZNF	A8MVS1
HGNC:33205	TMEM183B	transmembrane protein 183B		C1orf37-DUP		DQ186292		Q1AE95
HGNC:33206	CCNYL3	cyclin Y-like 3						P0C7X3
HGNC:33207	GGT4P	gamma-glutamyltransferase 4 pseudogene					GGT	
HGNC:33208	VN2R2P	vomeronasal 2 receptor 2 pseudogene					VN2R	
HGNC:33209	VN2R3P	vomeronasal 2 receptor 3 pseudogene					VN2R	
HGNC:3321	ELK1	ELK1, member of ETS oncogene family				M25269		P19419
HGNC:33210	VN2R4P	vomeronasal 2 receptor 4 pseudogene					VN2R	
HGNC:33211	VN2R5P	vomeronasal 2 receptor 5 pseudogene	VN2R8P				VN2R	
HGNC:33212	VN2R6P	vomeronasal 2 receptor 6 pseudogene					VN2R	
HGNC:33213	VN2R7P	vomeronasal 2 receptor 7 pseudogene					VN2R	
HGNC:33215	VN2R9P	vomeronasal 2 receptor 9 pseudogene					VN2R	
HGNC:33216	VN2R10P	vomeronasal 2 receptor 10 pseudogene					VN2R	
HGNC:33217	VN2R11P	vomeronasal 2 receptor 11 pseudogene					VN2R	
HGNC:33218	VN2R12P	vomeronasal 2 receptor 12 pseudogene					VN2R	
HGNC:33219	VN2R13P	vomeronasal 2 receptor 13 pseudogene					VN2R	
HGNC:33220	VN2R14P	vomeronasal 2 receptor 14 pseudogene					VN2R	
HGNC:33221	VN2R15P	vomeronasal 2 receptor 15 pseudogene					VN2R	
HGNC:33222	VN2R16P	vomeronasal 2 receptor 16 pseudogene					VN2R	
HGNC:33223	VN2R17P	vomeronasal 2 receptor 17 pseudogene					VN2R	
HGNC:33224	VN2R18P	vomeronasal 2 receptor 18 pseudogene					VN2R	
HGNC:33225	VN2R19P	vomeronasal 2 receptor 19 pseudogene					VN2R	
HGNC:33226	VN2R20P	vomeronasal 2 receptor 20 pseudogene					VN2R	
HGNC:33227	TMEM114	transmembrane protein 114				BC150511		B3SHH9
HGNC:33228	ZNF806	zinc finger protein 806					ZNF	P0C7X5
HGNC:33229	ZNF807	zinc finger protein 807	ZNF807P	ZNF181P1			ZNF	
HGNC:3323	ELK2AP	ELK2A, member of ETS oncogene family, pseudogene	ELK2, ELK2P1	ELK2.1		AF080617		
HGNC:33230	ZNF808	zinc finger protein 808				CR749856	ZNF, ZKRAB	Q8N4W9
HGNC:33234	LIN37	lin-37 homolog (C. elegans)		ZK418.4, F25965, lin-37		BC008939		Q96GY3
HGNC:33235	PWRN1	Prader-Willi region non-protein coding RNA 1		NCRNA00198	"non-protein coding RNA 198"	AC139362, AC139147, AC100720	LNCRNA, INTERGENIC	
HGNC:33236	PWRN2	Prader-Willi region non-protein coding RNA 2		NCRNA00199	"non-protein coding RNA 199"	AC087474	LNCRNA, INTERGENIC	
HGNC:33237	DUSP28	dual specificity phosphatase 28		VHP, DUSP26		BC036198	DUSPA	Q4G0W2
HGNC:33238	CCBL2	cysteine conjugate-beta lyase 2		RBM1, RP11-82K18.3, KAT3		AF091090		Q6YP21
HGNC:3324	ELK2BP	ELK2B, member of ETS oncogene family, pseudogene	ELK2P2	ELK2.2		AF080618		
HGNC:33240	SPG36	spastic paraplegia 36 (autosomal dominant)						
HGNC:33241	ZNF286B	zinc finger protein 286B	ZNF286L, ZNF286C	ZNF590	"zinc finger protein 590"		ZNF	P0CG31
HGNC:33242	ZNF812	zinc finger protein 812					ZNF, ZKRAB	P0C7V5
HGNC:33243	MRT4	mental retardation, non-syndromic, autosomal recessive, 4						
HGNC:33244	MACOM	macrophthalmia, colobomatous, with microcornea						
HGNC:33245	TRNAV6	transfer RNA valine 6 (anticodon CAC)	TRV6			M33940	TRNA	
HGNC:33246	TRNAV7	transfer RNA valine 7 (anticodon AAC)	TRV7	HtV1		M15782	TRNA	
HGNC:33247	TRNAV8	transfer RNA valine 8 (anticodon AAC)	TRV8	HtV2		M15783	TRNA	
HGNC:33248	TRNAV9	transfer RNA valine 9 (anticodon CAC)	TRV9	HtV3		M15784	TRNA	
HGNC:33249	TRNAY1	transfer RNA tyrosine 1 (anticodon GUA)				M27547	TRNA	
HGNC:3325	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)		ERP, NET, SAP2		BC017371		P41970
HGNC:33250	TRNAY2	transfer RNA tyrosine 2 (anticodon GUA)				M27548	TRNA	
HGNC:33251	GJE1	gap junction protein, epsilon 1, 23kDa		CX23			GJ	A6NN92
HGNC:33253	TRNAA2	transfer RNA alanine 2 (anticodon AGC)				M17880	TRNA	
HGNC:33254	TRNAA3	transfer RNA alanine 3 (anticodon AGC)				M17881	TRNA	
HGNC:33255	TRNAF1	transfer RNA phenylalanine 1 (anticodon GAA)				M17622	TRNA	
HGNC:33256	TRNAK3	transfer RNA lysine 3 (anticodon UUU)				M17621	TRNA	
HGNC:33257	ZNF813	zinc finger protein 813		FLJ16542		AK091460	ZNF, ZKRAB	Q6ZN06
HGNC:33258	ZNF814	zinc finger protein 814					ZNF, ZKRAB	B7Z6K7
HGNC:33259	TRNAF2	transfer RNA phenylalanine 2 (anticodon GAA)				K00350	TRNA	
HGNC:3326	ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)		SAP1		M85165		P28324
HGNC:33260	TRNAH5	transfer RNA histidine 5 (anticodon GUG)				X01553	TRNA	
HGNC:33262	ZNF285B	zinc finger protein 285B, pseudogene						
HGNC:33263	ISCA1P1	iron-sulfur cluster assembly 1 homolog (S. cerevisiae) pseudogene 1	ISCA1L					
HGNC:33264	RFPL4B	ret finger protein-like 4B		RNF211		AK122906	RNF	Q6ZWI9
HGNC:33265	ZNF818P	zinc finger protein 818, pseudogene	ZNF818	FLJ46385		AK128250		Q6ZRF7
